Episode;Date;Duration;n_guests;Guests;Category
1356;2019-09-30;02:44;2;['Sturgill Simpson', 'His Band'];['Musicians']
1355;2019-09-20;03:31;1;['Mark Normand'];['Actors', 'Comedians']
1354;2019-09-19;03:23;1;['The Black Keys'];['Musicians']
1353;2019-09-17;02:15;1;['Rob Zombie'];['Musicians', 'Filmmakers']
1352;2019-09-16;01:41;1;['Sean Carroll'];['Scientists']
1351;2019-09-12;02:31;1;['Dan Aykroyd'];['Actors']
1350;2019-09-11;02:42;1;['Nick Bostrom'];['Scientists']
1349;2019-09-10;02:28;1;['David Sinclair'];['Health', 'Scientists']
1348;2019-09-09;02:33;1;['Bill Burr'];['Comedians']
1347;2019-09-06;02:28;1;['Neil deGrasse Tyson'];['Authors', 'Scientists']
1346;2019-09-05;02:15;1;['Zuby'];['Musicians']
1345;2019-09-05;02:56;1;['Steve Aoki'];['Musicians']
1344;2019-09-04;01:54;1;['Joseph Ledoux'];['Scientists']
1343;2019-08-29;01:58;1;['Penn Jillette'];['Miscellaneous']
1342;2019-08-28;02:46;1;['John Carmack'];['IT, Game Devs, Programming']
1341;2019-08-27;02:28;1;['Steven Rinella'];['Miscellaneous']
1340;2019-08-26;02:12;1;['John Nores'];[]
1339;2019-08-22;03:17;1;['Everlast'];['Musicians']
1338;2019-08-21;02:57;1;['Roy Wood Jr.'];['Comedians']
1337;2019-08-20;02:43;1;['Dan Crenshaw'];['Military, Law Enforcement', 'Politics']
1336;2019-08-19;02:58;1;['Legion Of Skanks'];['Comedians']
1335;2019-08-14;01:50;1;['Jim Gaffigan'];['Actors', 'Comedians']
1334;2019-08-13;02:55;1;['Fahim Anwar'];['Miscellaneous', 'Comedians']
1333;2019-08-12;03:31;1;['Tom Papa'];['Actors', 'Comedians']
1332;2019-08-07;02:09;1;['Annie Lederman'];['Comedians']
1331;2019-08-06;02:29;1;['Alonzo Bodden'];['Comedians']
1330;2019-08-06;01:19;1;['Bernie Sanders'];['Politics']
1329;2019-08-01;03:23;1;['Brian Moses'];['Comedians']
1328;2019-07-30;02:23;1;['Whitney Cummings'];['Comedians']
1327;2019-07-30;02:22;1;['Mike Baker'];['Military, Law Enforcement']
1326;2019-07-29;01:52;1;['Maynard James Keenan'];['Musicians']
1325;2019-07-24;02:09;1;['Dr. Cornel West'];['Activists', 'Authors']
1324;2019-07-11;02:41;1;['Ian Edwards'];['Comedians']
1323;2019-07-10;01:28;1;['Andy Ngo'];['Journalists']
1322;2019-07-09;02:33;1;['Reggie Watts'];['Musicians', 'Comedians']
1321;2019-07-08;03:05;1;['Robert Oberst'];['Athletes, Fighters, Martial Arts']
1320;2019-07-03;03:35;1;['Eric Weinstein'];['Business', 'Scientists']
1319;2019-07-01;03:07;1;['Joey Diaz'];['Comedians']
1318;2019-06-26;02:41;1;['Hotep Jesus'];['Authors', 'Business']
1317;2019-06-26;03:00;1;['Andrew Santino'];['Comedians']
1316;2019-06-25;02:26;1;['Abby Martin'];['Journalists']
1315;2019-06-20;02:24;2;['Bob Lazar', 'Jeremy Corbell'];['Miscellaneous', 'Filmmakers', 'Scientists']
1314;2019-06-19;03:09;2;['Charlamagne tha God', 'Andrew Schulz'];['Miscellaneous', 'Comedians']
1313;2019-06-19;03:03;1;['Duncan Trussell'];['Comedians']
1312;2019-06-18;01:51;1;['Ms. Pat'];['Comedians']
1311;2019-06-05;02:13;1;['David Pakman'];['Miscellaneous']
1310;2019-06-05;03:11;1;['Sober October'];['Comedians']
1309;2019-06-04;02:19;1;['Naval Ravikant'];['Business']
1308;2019-06-04;03:07;1;['Eddie Bravo'];['Musicians', 'Athletes, Fighters, Martial Arts']
1307;2019-05-31;02:44;1;['Greg Fitzsimmons'];['Writers', 'Comedians']
1306;2019-05-30;02:11;1;['Wiz Khalifa'];['Musicians']
1305;2019-05-29;01:52;2;['JD', 'John Witherspoon'];['Actors', 'Comedians']
1304;2019-05-23;02:40;1;['Brendan Schaub'];['Comedians', 'Athletes, Fighters, Martial Arts']
1303;2019-05-23;01:49;1;['Tommy Chong'];['Actors', 'Musicians', 'Comedians']
1302;2019-05-22;01:51;1;['Ed Calderon'];['Military, Law Enforcement']
1301;2019-05-21;02:28;1;['Laird Hamilton'];['Athletes, Fighters, Martial Arts']
1300;2019-05-20;03:10;1;['Michael Malice'];['Authors']
1299;2019-05-16;02:45;1;['Annie Jacobsen'];['Journalists']
1298;2019-05-16;02:30;1;['Neal Brennan'];['Comedians']
1297;2019-05-15;01:42;1;['Phil Demers'];['Miscellaneous']
1296;2019-05-14;02:32;1;['Joe List'];['Comedians']
1295;2019-05-13;02:42;1;['Tulsi Gabbard'];['Politics']
1294;2019-05-09;02:36;1;['Jamie Metzl'];['IT, Game Devs, Programming']
1293;2019-05-08;03:15;1;['Andrew Santino'];['Comedians']
1292;2019-05-07;03:07;1;['Lex Fridman'];['Scientists']
1291;2019-05-06;02:50;1;['C.T. Fletcher'];['Athletes, Fighters, Martial Arts']
1290;2019-05-03;01:52;1;['Bryan Callen'];['Actors', 'Comedians']
1289;2019-05-02;03:05;1;['Eddie Izzard'];['Actors', 'Activists', 'Comedians']
1288;2019-05-01;02:10;1;['Jon Reep'];['Actors', 'Comedians']
1287;2019-04-30;03:00;1;['Rich Benoit'];['Auto, Moto']
1286;2019-04-29;02:17;1;['Anthony Jeselnik'];['Actors', 'Comedians']
1285;2019-04-23;02:26;1;['B-Real'];['Musicians']
1284;2019-04-22;02:52;1;['Graham Hancock'];['Authors', 'Journalists']
1283;2019-04-20;03:26;1;['Russell Brand'];['Actors', 'Comedians']
1282;2019-04-17;02:53;1;['Adam Conover'];['Comedians']
1281;2019-04-15;02:45;1;['Tom Papa'];['Miscellaneous']
1280;2019-04-09;03:09;1;['Michael Yo'];['Comedians']
1279;2019-04-08;02:36;1;['Jessimae Peluso'];['Comedians']
1278;2019-04-06;02:12;1;['Kevin Hart'];['Actors', 'Comedians']
1277;2019-04-03;02:36;1;['Gabrielle Reece'];['Athletes, Fighters, Martial Arts']
1276;2019-04-03;02:42;1;['Ben Shapiro'];['Miscellaneous', 'Activists']
1275;2019-04-02;03:02;1;['Luis J. Gomez'];['Comedians']
1274;2019-03-28;02:30;1;['Nicholas Christakis'];['Health', 'Scientists']
1273;2019-03-26;02:23;1;['Ron Funches'];['Actors', 'Comedians']
1272;2019-03-26;01:57;1;['Lindsey Fitzharris'];['Health', 'Authors']
1271;2019-03-25;02:19;1;['Billy Corben'];['Filmmakers']
1270;2019-03-25;02:18;1;['Lenny Clarke'];['Actors', 'Comedians']
1269;2019-03-20;02:56;1;['Bryan Callen'];['Actors', 'Comedians']
1268;2019-03-19;02:56;1;['Ron White'];['Comedians']
1267;2019-03-19;02:47;2;['Gary Taubes', 'Stephan Guyenet'];['Journalists', 'Food, Nutrition', 'Scientists']
1266;2019-03-18;02:26;1;['Ben Anderson'];['Journalists']
1265;2019-03-14;03:18;1;['Andrew Schulz'];['Comedians']
1264;2019-03-13;01:38;1;['Timothy Denevi'];['Miscellaneous']
1263;2019-03-12;02:16;1;['Ren\\xc3\\xa9e DiResta'];['IT, Game Devs, Programming']
1262;2019-03-12;01:51;1;['Pat McNamara'];['Military, Law Enforcement']
1261;2019-03-11;01:59;1;['Peter Hotez'];['Health', 'Scientists']
1260;2019-03-07;02:34;2;['Lennox Lewis', 'Russell Peters'];['Comedians', 'Athletes, Fighters, Martial Arts']
1259;2019-03-06;02:02;1;['David Wallace-Wells'];['Journalists']
1258;2019-03-05;03:35;2;['Jack Dorsey', ' Vijaya Gadde', 'Tim Pool'];['IT, Game Devs, Programming', 'Journalists']
1257;2019-03-04;01:39;1;['Steve Sweeney'];['Comedians']
1256;2019-02-28;03:03;1;['David Lee Roth'];['Musicians']
1255;2019-02-27;04:48;1;['Alex Jones Returns!'];['Miscellaneous']
1254;2019-02-26;01:45;1;['Dr. Phil'];['Miscellaneous']
1253;2019-02-26;02:14;1;['Ioan Grillo'];['Journalists']
1252;2019-02-25;03:02;2;['Dave Foley', 'Paul Greenberg'];['Actors', 'Comedians']
1251;2019-02-21;02:17;1;['Tim Dillon'];['Comedians']
1250;2019-02-20;03:05;1;['Johann Hari'];['Writers', 'Journalists']
1249;2019-02-19;02:52;1;['Donnell Rawlings'];['Actors', 'Comedians']
1248;2019-02-19;02:34;1;['Bill Ottman'];['IT, Game Devs, Programming']
1247;2019-02-18;02:56;1;['Andy Stumpf'];['Military, Law Enforcement', 'Athletes, Fighters, Martial Arts']
1246;2019-02-13;02:56;2;['Pot Debate - Alex Berenson', 'Dr. Michael Hart'];['Health', 'Authors', 'Journalists']
1245;2019-02-12;02:01;1;['Andrew Yang'];['Business']
1244;2019-02-11;02:13;1;['Colin Brady'];['Athletes, Fighters, Martial Arts']
1243;2019-02-11;02:15;1;['Rafinha Bastos'];['Actors', 'Journalists', 'Comedians']
1242;2019-02-08;02:56;1;['Tim Pool'];['Journalists']
1241;2019-02-07;02:47;1;['Sam Harris'];['Authors', 'Scientists']
1240;2019-02-06;02:16;1;['Forrest Galante'];['Miscellaneous']
1239;2019-02-05;02:08;1;['Travis Barker'];['Miscellaneous', 'Musicians']
1238;2019-02-04;02:10;1;['Brian Redban'];['Comedians']
1237;2019-02-04;02:03;1;['Sebastian Maniscalco'];['Comedians']
1236;2019-02-01;02:04;1;['Jack Dorsey'];['IT, Game Devs, Programming']
1235;2019-01-30;02:30;1;['Ben Greenfield'];['Athletes, Fighters, Martial Arts']
1234;2019-01-29;02:30;1;['David Sinclair'];['Health', 'Scientists']
1233;2019-01-28;02:42;1;['Brian Cox'];['Scientists']
1232;2019-01-25;02:09;1;['Nick Di Paolo'];['Comedians']
1231;2019-01-24;02:28;1;['Matt Braunger'];['Actors', 'Comedians']
1230;2019-01-23;03:15;1;['Killer Mike'];['Activists', 'Musicians']
1229;2019-01-22;03:11;1;['Richard Rawlings'];['Auto, Moto']
1228;2019-01-21;03:02;1;['Bari Weiss'];['Writers']
1227;2019-01-17;01:40;1;['Mike Tyson'];['Athletes, Fighters, Martial Arts']
1226;2019-01-16;02:32;1;['Mike Baker'];['Military, Law Enforcement']
1225;2019-01-15;03:14;1;['Theo Von'];['Comedians']
1224;2019-01-14;02:37;1;['Adam Greentree'];['Miscellaneous', 'Hunters']
1223;2019-01-11;03:29;1;['Greg Fitzsimmons'];['Writers', 'Comedians']
1222;2019-01-10;02:56;1;['Michael Shermer'];['Writers', 'Scientists']
1221;2019-01-07;02:13;1;['Jonathan Haidt'];['Authors', 'Scientists']
1220;2018-12-24;03:03;1;['Joey Diaz'];['Comedians']
1219;2018-12-20;02:19;1;['Bill Burr'];['Comedians']
1218;2018-12-19;02:55;1;['Gad Saad'];['Scientists']
1217;2018-12-19;02:05;1;['Nimesh Patel'];['Comedians']
1216;2018-12-18;01:47;1;['Sir Roger Penrose'];['Scientists']
1215;2018-12-17;03:05;1;['Ben Brien'];['Hunters']
1214;2018-12-13;02:27;1;['Lawrence Lessig'];['Activists']
1213;2018-12-12;02:02;1;['Dr. Andrew Weil'];['Health', 'Authors', 'Food, Nutrition']
1212;2018-12-05;02:27;1;['David Goggins'];['Athletes, Fighters, Martial Arts']
1211;2018-12-04;02:29;1;['Dr. Ben Goertzel'];['IT, Game Devs, Programming']
1210;2018-12-03;03:27;1;['Tom Papa'];['Actors', 'Comedians']
1209;2018-11-30;03:48;1;['Anthony Cumia'];['Miscellaneous']
1208;2018-11-29;03:04;1;['Jordan Peterson'];['Scientists']
1207;2018-11-27;03:11;2;['Jeff Ross', 'Dave Attell'];['Comedians']
1206;2018-11-21;03:02;2;['Mike Ward', 'Pantelis'];['Comedians']
1205;2018-11-20;02:19;2;['Jake The Snake Roberts', 'Tony Hinchclifee'];['Comedians', 'Athletes, Fighters, Martial Arts']
1204;2018-11-16;02:54;1;['Steven Rinella'];['Miscellaneous']
1203;2018-11-15;03:59;1;['Eric Weinstein'];['Scientists']
1202;2018-11-14;02:50;2;['Fred Morin', 'David McMillan'];['Food, Nutrition']
1201;2018-11-13;03:09;1;['William von Hippel'];['Scientists']
1200;2018-11-12;03:03;1;['Ross Edgley'];['Athletes, Fighters, Martial Arts']
1199;2018-11-12;02:05;2;['Tom Segura', 'Sean Anders'];['Filmmakers', 'Comedians']
1198;2018-11-09;02:20;1;['Derren Brown'];['Miscellaneous']
1197;2018-11-08;03:00;1;['Michael Malice'];['Miscellaneous']
1196;2018-11-07;02:01;1;['Dale Earnhardt Jr.'];['Miscellaneous']
1195;2018-11-06;03:38;1;['Christina P'];['Miscellaneous']
1194;2018-11-06;04:33;1;['Sober October Recap'];['Miscellaneous']
1193;2018-11-05;02:23;1;['Shane Dorian'];['Miscellaneous']
1192;2018-10-31;02:24;1;['Tony Hinchcliffe'];['Miscellaneous']
1191;2018-10-30;02:09;2;['Peter Boghossian', 'James Lindsay'];['Miscellaneous', 'Journalists', 'Scientists']
1190;2018-10-29;03:27;1;['Joey Diaz'];['Actors', 'Comedians']
1189;2018-10-25;01:51;1;['Alex Honnold'];['Athletes, Fighters, Martial Arts']
1188;2018-10-24;03:04;1;['Lex Fridman'];['Scientists']
1187;2018-10-23;02:51;1;['Kyle Kulinski'];['Activists', 'Politics']
1186;2018-10-23;02:30;1;['Marques Brownlee'];['Miscellaneous', 'IT, Game Devs, Programming']
1185;2018-10-22;02:11;1;['Kelly Slater'];['Athletes, Fighters, Martial Arts']
1184;2018-10-11;02:22;1;['Roseanne Barr'];['Writers', 'Actors', 'Comedians']
1183;2018-10-11;02:54;1;['Andrew Santino'];['Comedians']
1182;2018-10-09;02:30;1;['Nick Kroll'];['Writers', 'Actors']
1181;2018-10-08;01:48;1;['John Dudley'];['Athletes, Fighters, Martial Arts']
1180;2018-10-04;02:27;1;['Everlast'];['Musicians']
1179;2018-10-03;02:56;1;['Nikki Glaser'];['Comedians']
1178;2018-10-02;02:56;1;['Dr. Rhonda Patrick'];['Food, Nutrition', 'Scientists']
1177;2018-10-01;03:21;1;['Sober October'];['Comedians']
1176;2018-09-28;03:08;2;['Dom Agostino', 'Layne Norton'];['Food, Nutrition', 'Scientists', 'Athletes, Fighters, Martial Arts']
1175;2018-09-27;03:56;2;['Chris Kresser', 'Dr. Joel Kahn'];['Food, Nutrition', 'Scientists']
1174;2018-09-26;03:02;1;['Vinnie Paz'];['Musicians']
