,Time(s),Count,From noise set(%),From signal(%)
270,0.0195,1,0.0,0.0
271,0.02225,1,0.0,0.0
272,0.0185,1,0.0,0.0
273,0.0181875,1,0.0,0.0
274,0.016625,1,0.0,0.0
275,0.0168125,1,0.0,0.0
276,0.018375,1,0.0,0.0
277,0.0180625,1,0.0,0.0
278,0.020375,1,0.0,0.0
279,0.0199375,1,0.0,0.0
280,0.019375,1,0.0,0.0
281,0.0175,1,0.0,0.0
282,0.013875,1,0.0,0.0
283,0.0161875,1,0.0,0.0
284,0.0264375,1,0.0,0.0
285,0.0163125,1,0.0,0.0
286,0.0165,1,0.0,0.0
287,0.0225,1,0.0,0.0
288,0.017750000000000002,1,0.0,0.0
289,0.0221875,1,0.0,0.0
290,0.0261875,1,0.0,0.0
291,0.01425,1,0.0,0.0
292,0.0191875,1,0.0,0.0
293,0.0224375,1,0.0,0.0
294,0.0174375,1,0.0,0.0
295,0.0225625,1,0.0,0.0
296,0.016,1,0.0,0.0
297,0.0186875,1,0.0,0.0
298,0.0155625,1,0.0,0.0
299,0.01575,1,0.0,0.0
300,0.0201875,1,0.0,0.0
