,Time(s),Count,From silence set(%),From signal(%)
157,0.01025,117,0.0,0.0
158,0.01,117,0.0,0.0
159,0.0110625,116,0.0,0.0
160,0.0094375,116,0.0,0.0
161,0.0096875,108,0.0,0.0
162,0.010937500000000001,106,0.0,0.0
163,0.010375,103,0.0,0.0
164,0.0100625,97,0.0,0.0
165,0.0116875,97,0.0,0.0
166,0.0105625,95,0.0,0.0
167,0.010750000000000001,94,0.0,0.0
168,0.011125,94,0.0,0.0
169,0.0103125,92,0.0,0.0
170,0.0113125,91,0.0,0.0
171,0.01125,91,0.0,0.0
172,0.0120625,91,0.0,0.0
173,0.0106875,91,0.0,0.0
174,0.0115,90,0.0,0.0
175,0.0125,90,0.0,0.0
176,0.0111875,90,0.0,0.0
177,0.0119375,90,0.0,0.0
178,0.00975,88,0.0,0.0
179,0.0118125,88,0.0,0.0
180,0.01175,87,0.0,0.0
181,0.0104375,87,0.0,0.0
182,0.010625,87,0.0,0.0
183,0.0121875,87,0.0,0.0
184,0.012,87,0.0,0.0
185,0.011,86,0.0,0.0
186,0.011375,86,0.0,0.0
187,0.010812500000000001,85,0.0,0.0
188,0.0135625,85,0.0,0.0
189,0.012875000000000001,83,0.0,0.0
190,0.010875000000000001,83,0.0,0.0
191,0.010125,82,0.0,0.0
192,0.0115625,81,0.0,0.0
193,0.012375,81,0.0,0.0
194,0.012125,80,0.0,0.0
195,0.0125625,80,0.0,0.0
196,0.011625,79,0.0,0.0
197,0.01225,79,0.0,0.0
198,0.011875,78,0.0,0.0
199,0.0114375,77,0.0,0.0
200,0.012812500000000001,77,0.0,0.0
201,0.0123125,77,0.0,0.0
202,0.0126875,76,0.0,0.0
203,0.012750000000000001,75,0.0,0.0
204,0.01325,74,0.0,0.0
205,0.0105,74,0.0,0.0
206,0.0139375,73,0.0,0.0
207,0.013375,70,0.0,0.0
208,0.0130625,70,0.0,0.0
209,0.0133125,69,0.0,0.0
210,0.013625,69,0.0,0.0
211,0.01425,68,0.0,0.0
212,0.0138125,68,0.0,0.0
213,0.0124375,67,0.0,0.0
214,0.0145,66,0.0,0.0
215,0.0144375,66,0.0,0.0
216,0.012625,66,0.0,0.0
217,0.012937500000000001,65,0.0,0.0
218,0.0135,65,0.0,0.0
219,0.016125,63,0.0,0.0
220,0.0136875,63,0.0,0.0
221,0.0134375,63,0.0,0.0
222,0.015,62,0.0,0.0
223,0.014625,62,0.0,0.0
224,0.013125,61,0.0,0.0
225,0.0131875,60,0.0,0.0
226,0.0150625,59,0.0,0.0
227,0.014875000000000001,59,0.0,0.0
228,0.013000000000000001,59,0.0,0.0
229,0.013875,58,0.0,0.0
230,0.0156875,55,0.0,0.0
231,0.015625,55,0.0,0.0
232,0.014375,55,0.0,0.0
233,0.0140625,54,0.0,0.0
234,0.014812500000000001,54,0.0,0.0
235,0.016625,53,0.0,0.0
236,0.017,52,0.0,0.0
237,0.014750000000000001,52,0.0,0.0
238,0.014687500000000001,52,0.0,0.0
239,0.0175625,52,0.0,0.0
240,0.016875,52,0.0,0.0
241,0.0158125,51,0.0,0.0
242,0.01625,51,0.0,0.0
243,0.015125,51,0.0,0.0
244,0.0173125,51,0.0,0.0
245,0.01725,50,0.0,0.0
246,0.014125,50,0.0,0.0
247,0.016,50,0.0,0.0
248,0.0164375,49,0.0,0.0
249,0.01825,49,0.0,0.0
250,0.01375,49,0.0,0.0
251,0.0155625,49,0.0,0.0
252,0.0165625,49,0.0,0.0
253,0.015875,49,0.0,0.0
254,0.0169375,48,0.0,0.0
255,0.0166875,48,0.0,0.0
256,0.0170625,48,0.0,0.0
257,0.017625000000000002,48,0.0,0.0
258,0.0163125,48,0.0,0.0
259,0.0141875,47,0.0,0.0
260,0.01675,47,0.0,0.0
261,0.0193125,47,0.0,0.0
262,0.014937500000000001,47,0.0,0.0
263,0.0155,46,0.0,0.0
264,0.014,46,0.0,0.0
265,0.015375,46,0.0,0.0
266,0.0143125,46,0.0,0.0
267,0.0145625,45,0.0,0.0
268,0.017812500000000002,45,0.0,0.0
269,0.0153125,45,0.0,0.0
270,0.0175,45,0.0,0.0
271,0.017687500000000002,45,0.0,0.0
272,0.0151875,45,0.0,0.0
273,0.0174375,44,0.0,0.0
274,0.0165,44,0.0,0.0
275,0.0171875,44,0.0,0.0
276,0.0160625,44,0.0,0.0
277,0.0188125,44,0.0,0.0
278,0.017937500000000002,44,0.0,0.0
279,0.0159375,44,0.0,0.0
280,0.0168125,42,0.0,0.0
281,0.0195,42,0.0,0.0
282,0.020875,42,0.0,0.0
283,0.0154375,42,0.0,0.0
284,0.017750000000000002,42,0.0,0.0
285,0.0204375,42,0.0,0.0
286,0.020125,41,0.0,0.0
287,0.01575,41,0.0,0.0
288,0.01525,40,0.0,0.0
289,0.01925,40,0.0,0.0
290,0.018375,40,0.0,0.0
291,0.0183125,40,0.0,0.0
292,0.0185,40,0.0,0.0
293,0.0161875,40,0.0,0.0
294,0.018625,39,0.0,0.0
295,0.017125,39,0.0,0.0
296,0.02075,38,0.0,0.0
297,0.018875,38,0.0,0.0
298,0.0196875,37,0.0,0.0
299,0.0189375,37,0.0,0.0
300,0.0180625,37,0.0,0.0
301,0.021875000000000002,37,0.0,0.0
302,0.0221875,37,0.0,0.0
303,0.016375,37,0.0,0.0
304,0.02325,36,0.0,0.0
305,0.01875,36,0.0,0.0
306,0.0223125,36,0.0,0.0
307,0.0198125,36,0.0,0.0
308,0.0239375,36,0.0,0.0
309,0.021937500000000002,35,0.0,0.0
310,0.017375,35,0.0,0.0
311,0.0288125,35,0.0,0.0
312,0.0181875,35,0.0,0.0
313,0.0205625,34,0.0,0.0
314,0.021750000000000002,34,0.0,0.0
315,0.021,34,0.0,0.0
316,0.0186875,34,0.0,0.0
317,0.01975,34,0.0,0.0
318,0.020625,34,0.0,0.0
319,0.0203125,34,0.0,0.0
320,0.0205,34,0.0,0.0
321,0.022625,34,0.0,0.0
322,0.0501875,34,0.0,0.0
323,0.033,34,0.0,0.0
324,0.025562500000000002,34,0.0,0.0
325,0.024375,33,0.0,0.0
326,0.0184375,33,0.0,0.0
327,0.0240625,33,0.0,0.0
328,0.021375,33,0.0,0.0
329,0.017875000000000002,33,0.0,0.0
330,0.0191875,33,0.0,0.0
331,0.0211875,33,0.0,0.0
332,0.0241875,33,0.0,0.0
333,0.024875,33,0.0,0.0
334,0.0261875,33,0.0,0.0
335,0.021562500000000002,32,0.0,0.0
336,0.02125,32,0.0,0.0
337,0.0201875,32,0.0,0.0
338,0.0325,32,0.0,0.0
339,0.028125,32,0.0,0.0
340,0.020375,32,0.0,0.0
341,0.0194375,32,0.0,0.0
342,0.0330625,32,0.0,0.0
343,0.02,32,0.0,0.0
344,0.035750000000000004,32,0.0,0.0
345,0.0220625,32,0.0,0.0
346,0.026000000000000002,31,0.0,0.0
347,0.018125,31,0.0,0.0
348,0.0244375,31,0.0,0.0
349,0.0224375,31,0.0,0.0
350,0.019,31,0.0,0.0
351,0.02375,31,0.0,0.0
352,0.019375,31,0.0,0.0
353,0.02525,31,0.0,0.0
354,0.021687500000000002,31,0.0,0.0
355,0.0363125,31,0.0,0.0
356,0.036000000000000004,31,0.0,0.0
357,0.025500000000000002,31,0.0,0.0
358,0.0248125,31,0.0,0.0
359,0.026875,30,0.0,0.0
360,0.0245,30,0.0,0.0
361,0.0245625,30,0.0,0.0
362,0.023625,30,0.0,0.0
363,0.0235,30,0.0,0.0
364,0.0209375,30,0.0,0.0
365,0.0275625,30,0.0,0.0
366,0.018000000000000002,30,0.0,0.0
367,0.0443125,30,0.0,0.0
368,0.0235625,30,0.0,0.0
369,0.0345,30,0.0,0.0
370,0.030125,30,0.0,0.0
371,0.0413125,30,0.0,0.0
372,0.0210625,30,0.0,0.0
373,0.0200625,30,0.0,0.0
374,0.02025,30,0.0,0.0
375,0.040625,30,0.0,0.0
376,0.0206875,30,0.0,0.0
377,0.02275,30,0.0,0.0
378,0.0385,30,0.0,0.0
379,0.0229375,30,0.0,0.0
380,0.022,30,0.0,0.0
381,0.0246875,30,0.0,0.0
382,0.0270625,29,0.0,0.0
383,0.04175,29,0.0,0.0
384,0.035187500000000003,29,0.0,0.0
385,0.0364375,29,0.0,0.0
386,0.04125,29,0.0,0.0
387,0.0324375,29,0.0,0.0
388,0.0195625,29,0.0,0.0
389,0.0478125,29,0.0,0.0
390,0.023125,29,0.0,0.0
391,0.028875,29,0.0,0.0
392,0.0260625,29,0.0,0.0
393,0.0264375,29,0.0,0.0
394,0.030625,29,0.0,0.0
